ISBN,Book Name,Author Name,Price
11,3869717306088,Captivating Fantasy,Liam Brown,24.54
50,7936337603956,Powerful Mystery,Liam Jones,13.39
11,3279712503689,Captivating Fantasy,Noah Brown,10.09
8,3902787968227,Powerful Adventure,Ava Davis,26.81
29,2772605896588,Captivating Mystery,Olivia Williams,13.3
58,6588425557091,Powerful Adventure,Olivia Johnson,23.69
47,4185367759374,Thrilling Romance,Liam Davis,13.97
16,7425106695935,Thrilling Adventure,Noah Brown,27.42
23,3361624859581,Intriguing Adventure,Ava Davis,21.27
33,7753181934023,Captivating Mystery,Liam Davis,12.69
